Year,Title,Authors,Institution Name,Institution Country,Citation Count,Topic
2016,Deep Residual Learning for Image Recognition,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",Microsoft Research (United Kingdom),GB,183225,Artificial Intelligence
2001,,Leo Breiman,"University of California, Berkeley",US,100283,Artificial Intelligence
1995,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,"Yoav Benjamini, Yosef Hochberg",Tel Aviv University,IL,95453,Artificial Intelligence
1990,Basic local alignment search tool,"Stephen F. Altschul, Warren Gish, Webb Miller, Eugene W. Myers, David J. Lipman","Pennsylvania State University, University of Arizona, National Center for Biotechnology Information, National Institutes of Health",US,87873,Artificial Intelligence
1997,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs,Stephen F. Altschul,"National Center for Biotechnology Information, National Institutes of Health",US,72086,Artificial Intelligence
2014,Very Deep Convolutional Networks for Large-Scale Image Recognition,"Karen Simonyan, Andrew Zisserman",University of Oxford,GB,71691,Artificial Intelligence
1991,The theory of planned behavior,Icek Ajzen,University of Massachusetts Amherst,US,70848,Artificial Intelligence
2015,U-Net: Convolutional Networks for Biomedical Image Segmentation,"Olaf Ronneberger, Philipp Fischer, Thomas Brox",University of Freiburg,DE,68838,Artificial Intelligence
2012,ImageNet Classification with Deep Convolutional Neural Networks,"Alex Krizhevsky, Ilya Sutskever, Geoffrey E. Hinton",University of Toronto,CA,68105,Artificial Intelligence
2015,Deep learning,"Yann LeCun, Yoshua Bengio, Geoffrey E. Hinton","Google (United States), University of Toronto, New York University, University of New Brunswick, Université de Montréal, Meta (United States)","US, CA",66107,Artificial Intelligence
2003,Common method biases in behavioral research: A critical review of the literature and recommended remedies.,"Philip M. Podsakoff, Scott MacKenzie, Jeong Yeon Lee, Nathan P. Podsakoff","University of Florida, Indiana University Bloomington",US,62660,Artificial Intelligence
2012,Scikit-learn: Machine Learning in Python,"Fabián Pedregosa, Gaël Varoquaux, Alexandre Gramfort, Vincent Michel, Bertrand Thirion, Olivier Grisel, Mathieu Blondel, Peter Prettenhofer, Ron J. Weiss, Vincent Dubourg, Jake Vanderplas, Alexandre Passos, David Cournapeau, Matthieu Brucher, Matthieu Perrot, Édouard Duchesnay","University of Washington, Enthought (United States), Kobe University, CEA Paris-Saclay, University of Massachusetts Amherst, Google (Canada), Amherst College, Nuxe (France), Total (France), Bauhaus-Universität Weimar, Commissariat à l'Énergie Atomique et aux Énergies Alternatives","US, CA, JP, DE, FR",61177,Artificial Intelligence
1987,The neighbor-joining method: a new method for reconstructing phylogenetic trees.,"Naruya Saitou, M Nei",The University of Texas Health Science Center at Houston,US,59269,Artificial Intelligence
2012,Fiji: an open-source platform for biological-image analysis,"Johannes Schindelin, Ignacio Arganda‐Carreras, Erwin Frise, Verena Kaynig, Mark Longair, Tobias Pietzsch, Stephan Preibisch, Curtis Rueden, Stephan Saalfeld, Benjamin Schmid, Jean-Yves Tinévez, Daniel J. White, Volker Hartenstein, Kevin W. Eliceiri, Pavel Tomančák, Albert Cardona","Lawrence Berkeley National Laboratory, University of Wisconsin–Madison, Massachusetts Institute of Technology, Institute of Cognitive and Brain Sciences, University of Zurich, University of Würzburg, University of California, Los Angeles, Institut Pasteur, ETH Zurich, SIB Swiss Institute of Bioinformatics, Max Planck Institute of Molecular Cell Biology and Genetics","US, DE, CH, FR",56604,Artificial Intelligence
2017,Attention Is All You Need,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Łukasz Kaiser, Illia Polosukhin",Unknown Institution,Unknown Country,55688,Artificial Intelligence
1996,VMD: Visual molecular dynamics,"William Humphrey, Andrew Dalke, Klaus Schulten",University of Illinois Urbana-Champaign,US,55633,Artificial Intelligence
2009,ImageNet: A large-scale hierarchical image database,"Jia Deng, Wei Dong, Richard Socher, Li-Jia Li, Kai Li, Li Fei-Fei",Princeton University,US,53260,Artificial Intelligence
2004,Distinctive Image Features from Scale-Invariant Keypoints,David Lowe,University of British Columbia,CA,52430,Artificial Intelligence
1998,Gradient-based learning applied to document recognition,"Yann LeCun, Léon Bottou, Yoshua Bengio, Patrick Haffner",Université de Montréal,CA,50396,Artificial Intelligence
1989,"Genetic algorithms in search, optimization, and machine learning",,Unknown Institution,Unknown Country,49774,Artificial Intelligence
1996,Fuzzy sets,Lotfi A. Zadeh,Unknown Institution,Unknown Country,48650,Artificial Intelligence
2004,Image Quality Assessment: From Error Visibility to Structural Similarity,"Zhou Wang, Alan C. Bovik, H.R. Sheikh, Eero P. Simoncelli","The University of Texas at Austin, Howard Hughes Medical Institute, New York University",US,46746,Artificial Intelligence
1996,Regression Shrinkage and Selection Via the Lasso,Robert Tibshirani,University of Toronto,CA,46044,Artificial Intelligence
